"stratum","value","week","year"
"Baden.WÃ.rttemberg",5,1,2025
"Baden.WÃ.rttemberg",4,2,2025
"Baden.WÃ.rttemberg",8,3,2025
"Baden.WÃ.rttemberg",14,4,2025
"Baden.WÃ.rttemberg",8,5,2025
"Baden.WÃ.rttemberg",8,6,2025
"Baden.WÃ.rttemberg",15,7,2025
"Baden.WÃ.rttemberg",8,8,2025
"Baden.WÃ.rttemberg",5,9,2025
"Baden.WÃ.rttemberg",7,10,2025
"Baden.WÃ.rttemberg",3,11,2025
"Baden.WÃ.rttemberg",5,12,2025
"Baden.WÃ.rttemberg",7,13,2025
"Baden.WÃ.rttemberg",4,14,2025
"Baden.WÃ.rttemberg",3,15,2025
"Baden.WÃ.rttemberg",8,16,2025
"Baden.WÃ.rttemberg",10,17,2025
"Baden.WÃ.rttemberg",1,18,2025
"Bayern",7,1,2025
"Bayern",8,2,2025
"Bayern",13,3,2025
"Bayern",11,4,2025
"Bayern",8,5,2025
"Bayern",13,6,2025
"Bayern",11,7,2025
"Bayern",5,8,2025
"Bayern",9,9,2025
"Bayern",4,10,2025
"Bayern",4,11,2025
"Bayern",7,12,2025
"Bayern",7,13,2025
"Bayern",5,14,2025
"Bayern",8,15,2025
"Bayern",5,16,2025
"Bayern",8,17,2025
"Bayern",2,18,2025
"Berlin",3,1,2025
"Berlin",3,2,2025
"Berlin",1,3,2025
"Berlin",8,4,2025
"Berlin",2,5,2025
"Berlin",7,6,2025
"Berlin",1,7,2025
"Berlin",2,8,2025
"Berlin",1,9,2025
"Berlin",2,10,2025
"Berlin",2,11,2025
"Berlin",1,12,2025
"Berlin",3,13,2025
"Berlin",3,14,2025
"Berlin",8,15,2025
"Berlin",2,16,2025
"Berlin",4,17,2025
"Berlin",NA,18,2025
"Brandenburg",1,1,2025
"Brandenburg",NA,2,2025
"Brandenburg",3,3,2025
"Brandenburg",NA,4,2025
"Brandenburg",NA,5,2025
"Brandenburg",NA,6,2025
"Brandenburg",1,7,2025
"Brandenburg",1,8,2025
"Brandenburg",1,9,2025
"Brandenburg",NA,10,2025
"Brandenburg",NA,11,2025
"Brandenburg",NA,12,2025
"Brandenburg",NA,13,2025
"Brandenburg",NA,14,2025
"Brandenburg",1,15,2025
"Brandenburg",NA,16,2025
"Brandenburg",NA,17,2025
"Brandenburg",NA,18,2025
"Bremen",NA,1,2025
"Bremen",NA,2,2025
"Bremen",1,3,2025
"Bremen",NA,4,2025
"Bremen",1,5,2025
"Bremen",NA,6,2025
"Bremen",NA,7,2025
"Bremen",NA,8,2025
"Bremen",NA,9,2025
"Bremen",NA,10,2025
"Bremen",NA,11,2025
"Bremen",NA,12,2025
"Bremen",1,13,2025
"Bremen",NA,14,2025
"Bremen",NA,15,2025
"Bremen",NA,16,2025
"Bremen",NA,17,2025
"Bremen",NA,18,2025
"Hamburg",1,1,2025
"Hamburg",NA,2,2025
"Hamburg",2,3,2025
"Hamburg",2,4,2025
"Hamburg",2,5,2025
"Hamburg",1,6,2025
"Hamburg",1,7,2025
"Hamburg",2,8,2025
"Hamburg",3,9,2025
"Hamburg",3,10,2025
"Hamburg",NA,11,2025
"Hamburg",NA,12,2025
"Hamburg",1,13,2025
"Hamburg",NA,14,2025
"Hamburg",NA,15,2025
"Hamburg",1,16,2025
"Hamburg",1,17,2025
"Hamburg",NA,18,2025
"Hessen",2,1,2025
"Hessen",3,2,2025
"Hessen",4,3,2025
"Hessen",NA,4,2025
"Hessen",3,5,2025
"Hessen",3,6,2025
"Hessen",2,7,2025
"Hessen",4,8,2025
"Hessen",2,9,2025
"Hessen",2,10,2025
"Hessen",3,11,2025
"Hessen",1,12,2025
"Hessen",3,13,2025
"Hessen",2,14,2025
"Hessen",5,15,2025
"Hessen",2,16,2025
"Hessen",NA,17,2025
"Hessen",NA,18,2025
"Mecklenburg.Vorpommern",NA,1,2025
"Mecklenburg.Vorpommern",NA,2,2025
"Mecklenburg.Vorpommern",1,3,2025
"Mecklenburg.Vorpommern",1,4,2025
"Mecklenburg.Vorpommern",NA,5,2025
"Mecklenburg.Vorpommern",NA,6,2025
"Mecklenburg.Vorpommern",NA,7,2025
"Mecklenburg.Vorpommern",NA,8,2025
"Mecklenburg.Vorpommern",NA,9,2025
"Mecklenburg.Vorpommern",NA,10,2025
"Mecklenburg.Vorpommern",NA,11,2025
"Mecklenburg.Vorpommern",NA,12,2025
"Mecklenburg.Vorpommern",1,13,2025
"Mecklenburg.Vorpommern",NA,14,2025
"Mecklenburg.Vorpommern",NA,15,2025
"Mecklenburg.Vorpommern",NA,16,2025
"Mecklenburg.Vorpommern",1,17,2025
"Mecklenburg.Vorpommern",NA,18,2025
"Niedersachsen",2,1,2025
"Niedersachsen",NA,2,2025
