"stratum","value","week","year"
"A00..00",2,1,2025
"A00..00",2,2,2025
"A00..00",2,3,2025
"A00..00",NA,4,2025
"A00..00",2,5,2025
"A00..00",NA,6,2025
"A00..00",NA,7,2025
"A00..00",NA,8,2025
"A01..01",NA,1,2025
"A01..01",NA,2,2025
"A01..01",NA,3,2025
"A01..01",1,4,2025
"A01..01",NA,5,2025
"A01..01",1,6,2025
"A01..01",2,7,2025
"A01..01",NA,8,2025
"A03..03",1,1,2025
"A03..03",NA,2,2025
"A03..03",NA,3,2025
"A03..03",NA,4,2025
"A03..03",1,5,2025
"A03..03",1,6,2025
"A03..03",NA,7,2025
"A03..03",NA,8,2025
"A05..05",1,1,2025
"A05..05",NA,2,2025
"A05..05",1,3,2025
"A05..05",NA,4,2025
"A05..05",NA,5,2025
"A05..05",NA,6,2025
"A05..05",NA,7,2025
"A05..05",NA,8,2025
"A16..16",NA,1,2025
"A16..16",NA,2,2025
"A16..16",1,3,2025
"A16..16",NA,4,2025
"A16..16",1,5,2025
"A16..16",NA,6,2025
"A16..16",NA,7,2025
"A16..16",NA,8,2025
"A19..19",NA,1,2025
"A19..19",NA,2,2025
"A19..19",NA,3,2025
"A19..19",NA,4,2025
"A19..19",2,5,2025
"A19..19",NA,6,2025
"A19..19",NA,7,2025
"A19..19",NA,8,2025
"A20..20",NA,1,2025
"A20..20",NA,2,2025
"A20..20",1,3,2025
"A20..20",NA,4,2025
"A20..20",NA,5,2025
"A20..20",NA,6,2025
"A20..20",NA,7,2025
"A20..20",NA,8,2025
"A21..21",1,1,2025
"A21..21",NA,2,2025
"A21..21",NA,3,2025
"A21..21",NA,4,2025
"A21..21",NA,5,2025
"A21..21",NA,6,2025
"A21..21",NA,7,2025
"A21..21",NA,8,2025
"A24..24",NA,1,2025
"A24..24",NA,2,2025
"A24..24",1,3,2025
"A24..24",NA,4,2025
"A24..24",NA,5,2025
"A24..24",NA,6,2025
"A24..24",NA,7,2025
"A24..24",NA,8,2025
"A29..29",NA,1,2025
"A29..29",NA,2,2025
"A29..29",NA,3,2025
"A29..29",NA,4,2025
"A29..29",NA,5,2025
"A29..29",1,6,2025
"A29..29",NA,7,2025
"A29..29",NA,8,2025
"A32..32",NA,1,2025
"A32..32",NA,2,2025
"A32..32",1,3,2025
"A32..32",NA,4,2025
"A32..32",NA,5,2025
"A32..32",1,6,2025
"A32..32",NA,7,2025
"A32..32",NA,8,2025
"A33..33",NA,1,2025
"A33..33",NA,2,2025
"A33..33",NA,3,2025
"A33..33",NA,4,2025
"A33..33",1,5,2025
"A33..33",NA,6,2025
"A33..33",NA,7,2025
"A33..33",NA,8,2025
"A40..40",1,1,2025
"A40..40",NA,2,2025
"A40..40",NA,3,2025
"A40..40",NA,4,2025
"A40..40",NA,5,2025
"A40..40",NA,6,2025
"A40..40",NA,7,2025
"A40..40",NA,8,2025
"A45..45",NA,1,2025
"A45..45",NA,2,2025
"A45..45",NA,3,2025
"A45..45",1,4,2025
"A45..45",NA,5,2025
"A45..45",NA,6,2025
"A45..45",NA,7,2025
"A45..45",NA,8,2025
"A49..49",NA,1,2025
"A49..49",NA,2,2025
"A49..49",NA,3,2025
"A49..49",NA,4,2025
"A49..49",NA,5,2025
"A49..49",NA,6,2025
"A49..49",1,7,2025
"A49..49",NA,8,2025
"A50..50",NA,1,2025
"A50..50",NA,2,2025
"A50..50",NA,3,2025
"A50..50",NA,4,2025
"A50..50",1,5,2025
"A50..50",NA,6,2025
"A50..50",NA,7,2025
"A50..50",NA,8,2025
"A51..51",NA,1,2025
"A51..51",NA,2,2025
"A51..51",NA,3,2025
"A51..51",1,4,2025
"A51..51",NA,5,2025
"A51..51",NA,6,2025
"A51..51",NA,7,2025
"A51..51",NA,8,2025
"A53..53",NA,1,2025
"A53..53",NA,2,2025
"A53..53",NA,3,2025
"A53..53",1,4,2025
"A53..53",NA,5,2025
"A53..53",NA,6,2025
"A53..53",NA,7,2025
"A53..53",NA,8,2025
"A57..57",NA,1,2025
"A57..57",NA,2,2025
"A57..57",1,3,2025
"A57..57",NA,4,2025
"A57..57",NA,5,2025
"A57..57",NA,6,2025
"A57..57",NA,7,2025
"A57..57",NA,8,2025
"A59..59",NA,1,2025
"A59..59",NA,2,2025
"A59..59",NA,3,2025
"A59..59",1,4,2025
"A59..59",NA,5,2025
"A59..59",NA,6,2025
"A59..59",NA,7,2025
"A59..59",NA,8,2025
"A61..61",NA,1,2025
"A61..61",NA,2,2025
"A61..61",NA,3,2025
"A61..61",NA,4,2025
"A61..61",1,5,2025
"A61..61",NA,6,2025
"A61..61",NA,7,2025
"A61..61",NA,8,2025
"A65..65",NA,1,2025
"A65..65",NA,2,2025
"A65..65",NA,3,2025
"A65..65",NA,4,2025
"A65..65",1,5,2025
"A65..65",NA,6,2025
"A65..65",NA,7,2025
"A65..65",NA,8,2025
"A67..67",2,1,2025
"A67..67",NA,2,2025
"A67..67",NA,3,2025
"A67..67",NA,4,2025
"A67..67",NA,5,2025
"A67..67",NA,6,2025
"A67..67",NA,7,2025
"A67..67",NA,8,2025
"A74..74",NA,1,2025
"A74..74",NA,2,2025
"A74..74",NA,3,2025
"A74..74",NA,4,2025
"A74..74",2,5,2025
"A74..74",NA,6,2025
"A74..74",NA,7,2025
"A74..74",NA,8,2025
"A75..75",NA,1,2025
"A75..75",NA,2,2025
"A75..75",1,3,2025
"A75..75",NA,4,2025
"A75..75",NA,5,2025
"A75..75",NA,6,2025
"A75..75",NA,7,2025
"A75..75",NA,8,2025
"A77..77",NA,1,2025
"A77..77",NA,2,2025
"A77..77",1,3,2025
"A77..77",NA,4,2025
"A77..77",NA,5,2025
"A77..77",NA,6,2025
"A77..77",NA,7,2025
"A77..77",NA,8,2025
"A79..79",1,1,2025
"A79..79",1,2,2025
"A79..79",NA,3,2025
"A79..79",NA,4,2025
"A79..79",NA,5,2025
"A79..79",NA,6,2025
"A79..79",NA,7,2025
"A79..79",NA,8,2025
"A80.",4,1,2025
"A80.",2,2,2025
"A80.",7,3,2025
"A80.",NA,4,2025
"A80.",1,5,2025
"A80.",NA,6,2025
"A80.",NA,7,2025
"A80.",1,8,2025
"A00..00",NA,1,2024
"A00..00",1,2,2024
"A00..00",1,3,2024
"A00..00",NA,4,2024
"A00..00",NA,5,2024
"A00..00",2,6,2024
"A00..00",1,7,2024
"A00..00",1,8,2024
"A00..00",1,9,2024
"A00..00",NA,10,2024
"A00..00",NA,11,2024
"A00..00",NA,12,2024
"A00..00",1,13,2024
"A00..00",NA,14,2024
"A00..00",NA,15,2024
"A00..00",2,16,2024
"A00..00",NA,17,2024
"A00..00",NA,18,2024
"A00..00",NA,19,2024
