"stratum","value","week","year"
"Baden.WÃ.rttemberg",1,1,2022
"Baden.WÃ.rttemberg",NA,2,2022
"Baden.WÃ.rttemberg",NA,3,2022
"Baden.WÃ.rttemberg",1,4,2022
"Baden.WÃ.rttemberg",NA,5,2022
"Baden.WÃ.rttemberg",NA,6,2022
"Baden.WÃ.rttemberg",NA,7,2022
"Baden.WÃ.rttemberg",1,9,2022
"Baden.WÃ.rttemberg",NA,10,2022
"Baden.WÃ.rttemberg",NA,11,2022
"Baden.WÃ.rttemberg",NA,12,2022
"Baden.WÃ.rttemberg",NA,13,2022
"Baden.WÃ.rttemberg",NA,14,2022
"Baden.WÃ.rttemberg",NA,15,2022
"Baden.WÃ.rttemberg",NA,16,2022
"Baden.WÃ.rttemberg",NA,17,2022
"Baden.WÃ.rttemberg",NA,18,2022
"Baden.WÃ.rttemberg",NA,19,2022
"Baden.WÃ.rttemberg",NA,20,2022
"Baden.WÃ.rttemberg",NA,21,2022
"Baden.WÃ.rttemberg",NA,22,2022
"Baden.WÃ.rttemberg",NA,24,2022
"Baden.WÃ.rttemberg",NA,25,2022
"Baden.WÃ.rttemberg",NA,27,2022
"Baden.WÃ.rttemberg",NA,28,2022
"Baden.WÃ.rttemberg",1,29,2022
"Baden.WÃ.rttemberg",NA,30,2022
"Baden.WÃ.rttemberg",NA,31,2022
"Baden.WÃ.rttemberg",NA,32,2022
"Baden.WÃ.rttemberg",NA,33,2022
"Baden.WÃ.rttemberg",NA,34,2022
"Baden.WÃ.rttemberg",1,35,2022
"Baden.WÃ.rttemberg",NA,38,2022
"Baden.WÃ.rttemberg",NA,39,2022
"Baden.WÃ.rttemberg",NA,40,2022
"Baden.WÃ.rttemberg",NA,41,2022
"Bayern",NA,1,2022
"Bayern",NA,2,2022
"Bayern",NA,3,2022
"Bayern",NA,4,2022
"Bayern",1,5,2022
"Bayern",NA,6,2022
"Bayern",NA,7,2022
"Bayern",NA,9,2022
"Bayern",NA,10,2022
"Bayern",NA,11,2022
"Bayern",NA,12,2022
"Bayern",1,13,2022
"Bayern",NA,14,2022
"Bayern",NA,15,2022
"Bayern",NA,16,2022
"Bayern",NA,17,2022
"Bayern",2,18,2022
"Bayern",1,19,2022
"Bayern",1,20,2022
"Bayern",1,21,2022
"Bayern",NA,22,2022
"Bayern",2,24,2022
"Bayern",NA,25,2022
"Bayern",1,27,2022
"Bayern",1,28,2022
"Bayern",1,29,2022
"Bayern",NA,30,2022
"Bayern",2,31,2022
"Bayern",NA,32,2022
"Bayern",1,33,2022
"Bayern",NA,34,2022
"Bayern",NA,35,2022
"Bayern",NA,38,2022
"Bayern",1,39,2022
"Bayern",NA,40,2022
"Bayern",NA,41,2022
"Berlin",NA,1,2022
"Berlin",NA,2,2022
"Berlin",1,3,2022
"Berlin",1,4,2022
"Berlin",NA,5,2022
"Berlin",NA,6,2022
"Berlin",NA,7,2022
"Berlin",1,9,2022
"Berlin",NA,10,2022
"Berlin",NA,11,2022
"Berlin",NA,12,2022
"Berlin",NA,13,2022
"Berlin",NA,14,2022
"Berlin",1,15,2022
"Berlin",1,16,2022
"Berlin",NA,17,2022
"Berlin",NA,18,2022
"Berlin",NA,19,2022
"Berlin",NA,20,2022
"Berlin",NA,21,2022
"Berlin",NA,22,2022
"Berlin",1,24,2022
"Berlin",NA,25,2022
"Berlin",NA,27,2022
"Berlin",NA,28,2022
"Berlin",NA,29,2022
"Berlin",NA,30,2022
"Berlin",NA,31,2022
"Berlin",NA,32,2022
"Berlin",NA,33,2022
"Berlin",NA,34,2022
"Berlin",NA,35,2022
"Berlin",1,38,2022
"Berlin",NA,39,2022
"Berlin",NA,40,2022
"Berlin",NA,41,2022
"Brandenburg",NA,1,2022
"Brandenburg",1,2,2022
"Brandenburg",NA,3,2022
"Brandenburg",NA,4,2022
"Brandenburg",NA,5,2022
"Brandenburg",NA,6,2022
"Brandenburg",NA,7,2022
"Brandenburg",NA,9,2022
"Brandenburg",1,10,2022
"Brandenburg",NA,11,2022
"Brandenburg",NA,12,2022
"Brandenburg",NA,13,2022
"Brandenburg",NA,14,2022
"Brandenburg",1,15,2022
"Brandenburg",NA,16,2022
"Brandenburg",NA,17,2022
"Brandenburg",NA,18,2022
"Brandenburg",NA,19,2022
"Brandenburg",NA,20,2022
"Brandenburg",NA,21,2022
"Brandenburg",NA,22,2022
