"stratum","value","week","year"
"A00..00",50,1,2023
"A00..00",49,2,2023
"A00..00",53,3,2023
"A00..00",55,4,2023
"A00..00",84,5,2023
"A00..00",83,6,2023
"A00..00",123,7,2023
"A00..00",105,8,2023
"A00..00",109,9,2023
"A00..00",125,10,2023
"A00..00",107,11,2023
"A00..00",110,12,2023
"A00..00",80,13,2023
"A00..00",65,14,2023
"A00..00",62,15,2023
"A00..00",62,16,2023
"A00..00",65,17,2023
"A00..00",59,18,2023
"A00..00",49,19,2023
"A00..00",44,20,2023
"A00..00",50,21,2023
"A00..00",34,22,2023
"A00..00",31,23,2023
"A00..00",36,24,2023
"A00..00",40,25,2023
"A00..00",41,26,2023
"A00..00",37,27,2023
"A00..00",44,28,2023
"A00..00",31,29,2023
"A00..00",35,30,2023
"A00..00",33,31,2023
"A00..00",28,32,2023
"A00..00",24,33,2023
"A01..01",80,1,2023
"A01..01",120,2,2023
"A01..01",136,3,2023
"A01..01",189,4,2023
"A01..01",222,5,2023
"A01..01",211,6,2023
"A01..01",254,7,2023
"A01..01",283,8,2023
"A01..01",267,9,2023
"A01..01",287,10,2023
"A01..01",225,11,2023
"A01..01",250,12,2023
"A01..01",219,13,2023
"A01..01",152,14,2023
"A01..01",103,15,2023
"A01..01",122,16,2023
"A01..01",144,17,2023
"A01..01",87,18,2023
"A01..01",109,19,2023
"A01..01",87,20,2023
"A01..01",83,21,2023
"A01..01",61,22,2023
"A01..01",64,23,2023
"A01..01",79,24,2023
"A01..01",92,25,2023
"A01..01",91,26,2023
"A01..01",69,27,2023
"A01..01",72,28,2023
"A01..01",71,29,2023
"A01..01",84,30,2023
"A01..01",88,31,2023
"A01..01",62,32,2023
"A01..01",39,33,2023
"A02..02",33,1,2023
"A02..02",58,2,2023
"A02..02",97,3,2023
"A02..02",117,4,2023
"A02..02",143,5,2023
"A02..02",130,6,2023
"A02..02",140,7,2023
"A02..02",163,8,2023
"A02..02",195,9,2023
"A02..02",196,10,2023
"A02..02",156,11,2023
"A02..02",141,12,2023
"A02..02",132,13,2023
"A02..02",92,14,2023
"A02..02",60,15,2023
"A02..02",83,16,2023
"A02..02",102,17,2023
"A02..02",54,18,2023
"A02..02",67,19,2023
"A02..02",59,20,2023
"A02..02",50,21,2023
"A02..02",37,22,2023
"A02..02",56,23,2023
"A02..02",60,24,2023
"A02..02",54,25,2023
"A02..02",64,26,2023
"A02..02",53,27,2023
"A02..02",50,28,2023
"A02..02",64,29,2023
"A02..02",56,30,2023
"A02..02",50,31,2023
"A02..02",43,32,2023
"A02..02",23,33,2023
"A03..03",14,1,2023
"A03..03",26,2,2023
"A03..03",52,3,2023
"A03..03",59,4,2023
"A03..03",75,5,2023
"A03..03",95,6,2023
"A03..03",103,7,2023
"A03..03",80,8,2023
"A03..03",117,9,2023
"A03..03",108,10,2023
"A03..03",88,11,2023
"A03..03",81,12,2023
"A03..03",98,13,2023
"A03..03",68,14,2023
"A03..03",35,15,2023
"A03..03",64,16,2023
"A03..03",65,17,2023
"A03..03",36,18,2023
"A03..03",34,19,2023
"A03..03",40,20,2023
"A03..03",32,21,2023
"A03..03",19,22,2023
"A03..03",19,23,2023
"A03..03",35,24,2023
"A03..03",52,25,2023
"A03..03",25,26,2023
"A03..03",26,27,2023
"A03..03",34,28,2023
"A03..03",33,29,2023
"A03..03",32,30,2023
"A03..03",27,31,2023
"A03..03",27,32,2023
"A03..03",14,33,2023
"A04..04",9,1,2023
"A04..04",27,2,2023
"A04..04",53,3,2023
"A04..04",43,4,2023
"A04..04",73,5,2023
"A04..04",75,6,2023
"A04..04",90,7,2023
"A04..04",76,8,2023
"A04..04",103,9,2023
"A04..04",79,10,2023
"A04..04",81,11,2023
"A04..04",51,12,2023
"A04..04",81,13,2023
"A04..04",44,14,2023
"A04..04",33,15,2023
"A04..04",44,16,2023
"A04..04",38,17,2023
"A04..04",33,18,2023
"A04..04",31,19,2023
"A04..04",34,20,2023
"A04..04",22,21,2023
"A04..04",19,22,2023
"A04..04",19,23,2023
"A04..04",30,24,2023
"A04..04",34,25,2023
"A04..04",21,26,2023
"A04..04",33,27,2023
"A04..04",27,28,2023
"A04..04",16,29,2023
"A04..04",33,30,2023
"A04..04",24,31,2023
"A04..04",23,32,2023
"A04..04",9,33,2023
"A05..05",8,1,2023
"A05..05",24,2,2023
