"stratum","value","week","year"
"Baden.WÃ.rttemberg",70,1,2025
"Bayern",65,1,2025
"Berlin",28,1,2025
"Brandenburg",26,1,2025
"Bremen",2,1,2025
"Hamburg",18,1,2025
"Hessen",10,1,2025
"Niedersachsen",62,1,2025
"Nordrhein.Westfalen",91,1,2025
"Rheinland.Pfalz",26,1,2025
"Saarland",7,1,2025
"Sachsen.Anhalt",21,1,2025
"Schleswig.Holstein",11,1,2025
"ThÃ.ringen",30,1,2025
"Baden.WÃ.rttemberg",162,1,2024
"Baden.WÃ.rttemberg",265,2,2024
"Baden.WÃ.rttemberg",280,3,2024
"Baden.WÃ.rttemberg",419,4,2024
"Baden.WÃ.rttemberg",351,5,2024
"Baden.WÃ.rttemberg",270,6,2024
"Baden.WÃ.rttemberg",267,7,2024
"Baden.WÃ.rttemberg",260,8,2024
"Baden.WÃ.rttemberg",269,9,2024
"Baden.WÃ.rttemberg",318,10,2024
"Baden.WÃ.rttemberg",400,11,2024
"Baden.WÃ.rttemberg",291,12,2024
"Baden.WÃ.rttemberg",284,13,2024
"Baden.WÃ.rttemberg",248,14,2024
"Baden.WÃ.rttemberg",383,15,2024
"Baden.WÃ.rttemberg",224,16,2024
"Baden.WÃ.rttemberg",383,17,2024
"Baden.WÃ.rttemberg",293,18,2024
"Baden.WÃ.rttemberg",165,19,2024
"Baden.WÃ.rttemberg",316,20,2024
"Baden.WÃ.rttemberg",172,21,2024
"Baden.WÃ.rttemberg",99,22,2024
"Baden.WÃ.rttemberg",142,23,2024
"Baden.WÃ.rttemberg",97,24,2024
"Baden.WÃ.rttemberg",132,25,2024
"Baden.WÃ.rttemberg",125,26,2024
"Baden.WÃ.rttemberg",123,27,2024
"Baden.WÃ.rttemberg",86,28,2024
"Baden.WÃ.rttemberg",82,29,2024
"Baden.WÃ.rttemberg",65,30,2024
"Baden.WÃ.rttemberg",140,31,2024
"Baden.WÃ.rttemberg",100,32,2024
"Baden.WÃ.rttemberg",112,33,2024
"Baden.WÃ.rttemberg",91,34,2024
"Baden.WÃ.rttemberg",131,35,2024
"Baden.WÃ.rttemberg",111,36,2024
"Baden.WÃ.rttemberg",121,37,2024
"Baden.WÃ.rttemberg",163,38,2024
"Baden.WÃ.rttemberg",130,39,2024
"Baden.WÃ.rttemberg",109,40,2024
"Baden.WÃ.rttemberg",111,41,2024
"Baden.WÃ.rttemberg",93,42,2024
"Baden.WÃ.rttemberg",75,43,2024
"Baden.WÃ.rttemberg",58,44,2024
"Baden.WÃ.rttemberg",77,45,2024
"Baden.WÃ.rttemberg",111,46,2024
"Baden.WÃ.rttemberg",156,47,2024
"Baden.WÃ.rttemberg",229,48,2024
"Baden.WÃ.rttemberg",193,49,2024
"Baden.WÃ.rttemberg",367,50,2024
"Baden.WÃ.rttemberg",365,51,2024
"Baden.WÃ.rttemberg",132,52,2024
"Bayern",412,1,2024
"Bayern",565,2,2024
"Bayern",674,3,2024
"Bayern",703,4,2024
"Bayern",771,5,2024
"Bayern",739,6,2024
"Bayern",670,7,2024
"Bayern",638,8,2024
"Bayern",493,9,2024
"Bayern",671,10,2024
"Bayern",699,11,2024
"Bayern",607,12,2024
"Bayern",410,13,2024
"Bayern",464,14,2024
"Bayern",435,15,2024
"Bayern",368,16,2024
"Bayern",435,17,2024
"Bayern",561,18,2024
"Bayern",282,19,2024
"Bayern",276,20,2024
"Bayern",281,21,2024
"Bayern",159,22,2024
"Bayern",206,23,2024
"Bayern",152,24,2024
"Bayern",144,25,2024
"Bayern",154,26,2024
"Bayern",254,27,2024
"Bayern",136,28,2024
"Bayern",146,29,2024
"Bayern",131,30,2024
"Bayern",143,31,2024
"Bayern",158,32,2024
"Bayern",142,33,2024
"Bayern",132,34,2024
"Bayern",161,35,2024
"Bayern",204,36,2024
"Bayern",221,37,2024
"Bayern",250,38,2024
"Bayern",244,39,2024
"Bayern",157,40,2024
"Bayern",159,41,2024
"Bayern",162,42,2024
"Bayern",155,43,2024
"Bayern",107,44,2024
"Bayern",146,45,2024
"Bayern",127,46,2024
"Bayern",218,47,2024
"Bayern",254,48,2024
"Bayern",349,49,2024
"Bayern",427,50,2024
"Bayern",565,51,2024
"Bayern",254,52,2024
"Berlin",63,1,2024
"Berlin",133,2,2024
"Berlin",371,3,2024
"Berlin",649,4,2024
"Berlin",783,5,2024
"Berlin",639,6,2024
"Berlin",607,7,2024
"Berlin",573,8,2024
"Berlin",513,9,2024
"Berlin",219,10,2024
"Berlin",338,11,2024
"Berlin",261,12,2024
"Berlin",153,13,2024
"Berlin",172,14,2024
"Berlin",138,15,2024
"Berlin",102,16,2024
"Berlin",134,17,2024
"Berlin",90,18,2024
"Berlin",75,19,2024
"Berlin",32,20,2024
"Berlin",31,21,2024
"Berlin",101,22,2024
"Berlin",62,23,2024
"Berlin",36,24,2024
"Berlin",21,25,2024
"Berlin",20,26,2024
"Berlin",18,27,2024
"Berlin",10,28,2024
"Berlin",16,29,2024
"Berlin",15,30,2024
"Berlin",14,31,2024
"Berlin",16,32,2024
"Berlin",26,33,2024
"Berlin",39,34,2024
"Berlin",23,35,2024
"Berlin",56,36,2024
"Berlin",37,37,2024
"Berlin",34,38,2024
"Berlin",57,39,2024
"Berlin",81,40,2024
"Berlin",22,41,2024
"Berlin",37,42,2024
"Berlin",38,43,2024
"Berlin",61,44,2024
"Berlin",45,45,2024
"Berlin",53,46,2024
"Berlin",44,47,2024
"Berlin",129,48,2024
"Berlin",105,49,2024
"Berlin",159,50,2024
"Berlin",117,51,2024
"Berlin",53,52,2024
"Brandenburg",139,1,2024
"Brandenburg",346,2,2024
"Brandenburg",364,3,2024
"Brandenburg",337,4,2024
"Brandenburg",609,5,2024
"Brandenburg",541,6,2024
"Brandenburg",392,7,2024
"Brandenburg",478,8,2024
"Brandenburg",364,9,2024
"Brandenburg",417,10,2024
"Brandenburg",403,11,2024
"Brandenburg",498,12,2024
"Brandenburg",217,13,2024
"Brandenburg",206,14,2024
"Brandenburg",133,15,2024
"Brandenburg",123,16,2024
"Brandenburg",117,17,2024
"Brandenburg",101,18,2024
"Brandenburg",130,19,2024
"Brandenburg",81,20,2024
"Brandenburg",30,21,2024
"Brandenburg",104,22,2024
"Brandenburg",42,23,2024
"Brandenburg",21,24,2024
"Brandenburg",15,25,2024
"Brandenburg",24,26,2024
"Brandenburg",18,27,2024
"Brandenburg",16,28,2024
"Brandenburg",50,29,2024
"Brandenburg",20,30,2024
"Brandenburg",23,31,2024
"Brandenburg",26,32,2024
"Brandenburg",25,33,2024
"Brandenburg",37,34,2024
"Brandenburg",40,35,2024
"Brandenburg",39,36,2024
"Brandenburg",45,37,2024
"Brandenburg",68,38,2024
"Brandenburg",51,39,2024
"Brandenburg",37,40,2024
"Brandenburg",47,41,2024
"Brandenburg",36,42,2024
"Brandenburg",31,43,2024
"Brandenburg",31,44,2024
"Brandenburg",61,45,2024
"Brandenburg",68,46,2024
"Brandenburg",75,47,2024
"Brandenburg",130,48,2024
"Brandenburg",115,49,2024
"Brandenburg",132,50,2024
"Brandenburg",233,51,2024
"Brandenburg",77,52,2024
"Bremen",8,1,2024
"Bremen",9,2,2024
"Bremen",42,3,2024
"Bremen",11,4,2024
"Bremen",26,5,2024
"Bremen",27,6,2024
"Bremen",28,7,2024
"Bremen",27,8,2024
"Bremen",24,9,2024
"Bremen",16,10,2024
"Bremen",15,11,2024
"Bremen",23,12,2024
"Bremen",15,13,2024
"Bremen",49,14,2024
"Bremen",7,15,2024
"Bremen",4,16,2024
"Bremen",9,17,2024
"Bremen",6,18,2024
"Bremen",4,19,2024
"Bremen",2,20,2024
"Bremen",4,21,2024
"Bremen",6,22,2024
"Bremen",5,23,2024
"Bremen",3,24,2024
"Bremen",8,25,2024
"Bremen",6,26,2024
"Bremen",6,27,2024
"Bremen",2,28,2024
"Bremen",2,29,2024
"Bremen",3,30,2024
"Bremen",7,31,2024
"Bremen",4,32,2024
"Bremen",7,33,2024
"Bremen",6,34,2024
"Bremen",1,35,2024
"Bremen",14,36,2024
"Bremen",7,37,2024
"Bremen",9,38,2024
"Bremen",8,39,2024
"Bremen",2,40,2024
"Bremen",6,41,2024
"Bremen",3,42,2024
"Bremen",4,43,2024
"Bremen",6,44,2024
"Bremen",18,45,2024
"Bremen",8,46,2024
"Bremen",20,47,2024
"Bremen",14,48,2024
"Bremen",29,49,2024
"Bremen",10,50,2024
"Bremen",13,51,2024
"Bremen",6,52,2024
"Hamburg",145,1,2024
"Hamburg",91,2,2024
"Hamburg",144,3,2024
"Hamburg",115,4,2024
"Hamburg",142,5,2024
"Hamburg",125,6,2024
"Hamburg",127,7,2024
"Hamburg",156,8,2024
"Hamburg",187,9,2024
"Hamburg",117,10,2024
"Hamburg",113,11,2024
"Hamburg",100,12,2024
"Hamburg",68,13,2024
"Hamburg",54,14,2024
"Hamburg",43,15,2024
"Hamburg",30,16,2024
"Hamburg",48,17,2024
"Hamburg",44,18,2024
"Hamburg",25,19,2024
"Hamburg",39,20,2024
"Hamburg",74,21,2024
"Hamburg",22,22,2024
"Hamburg",55,23,2024
"Hamburg",41,24,2024
"Hamburg",21,25,2024
"Hamburg",31,26,2024
"Hamburg",22,27,2024
