"stratum","value","week","year"
"A00..00",1,1,2021
"A00..00",1,6,2021
"A00..00",NA,7,2021
"A00..00",NA,11,2021
"A00..00",NA,18,2021
"A00..00",NA,20,2021
"A00..00",NA,23,2021
"A00..00",NA,24,2021
"A00..00",NA,25,2021
"A00..00",NA,27,2021
"A00..00",2,28,2021
"A00..00",2,29,2021
"A00..00",2,30,2021
"A00..00",6,31,2021
"A00..00",2,32,2021
"A00..00",2,33,2021
"A00..00",3,34,2021
"A00..00",21,35,2021
"A00..00",37,36,2021
"A00..00",64,37,2021
"A00..00",102,38,2021
"A00..00",149,39,2021
"A00..00",176,40,2021
"A00..00",174,41,2021
"A00..00",175,42,2021
"A00..00",117,43,2021
"A00..00",102,44,2021
"A00..00",40,45,2021
"A00..00",40,46,2021
"A00..00",35,47,2021
"A00..00",2,48,2021
"A01..01",NA,1,2021
"A01..01",NA,6,2021
"A01..01",NA,7,2021
"A01..01",1,11,2021
"A01..01",1,18,2021
"A01..01",NA,20,2021
"A01..01",NA,23,2021
"A01..01",NA,24,2021
"A01..01",NA,25,2021
"A01..01",NA,27,2021
"A01..01",1,28,2021
"A01..01",2,29,2021
"A01..01",NA,30,2021
"A01..01",3,31,2021
"A01..01",1,32,2021
"A01..01",5,33,2021
"A01..01",6,34,2021
"A01..01",22,35,2021
"A01..01",44,36,2021
"A01..01",78,37,2021
"A01..01",128,38,2021
"A01..01",135,39,2021
"A01..01",179,40,2021
"A01..01",148,41,2021
"A01..01",124,42,2021
"A01..01",55,43,2021
"A01..01",78,44,2021
"A01..01",40,45,2021
"A01..01",22,46,2021
"A01..01",16,47,2021
"A01..01",7,48,2021
"A02..02",NA,1,2021
"A02..02",NA,6,2021
"A02..02",NA,7,2021
"A02..02",NA,11,2021
"A02..02",1,18,2021
"A02..02",NA,20,2021
"A02..02",NA,23,2021
"A02..02",NA,24,2021
"A02..02",NA,25,2021
"A02..02",NA,27,2021
"A02..02",3,28,2021
"A02..02",NA,29,2021
"A02..02",2,30,2021
"A02..02",5,31,2021
"A02..02",4,32,2021
"A02..02",5,33,2021
"A02..02",9,34,2021
"A02..02",21,35,2021
"A02..02",45,36,2021
"A02..02",66,37,2021
"A02..02",130,38,2021
"A02..02",125,39,2021
"A02..02",139,40,2021
"A02..02",134,41,2021
"A02..02",87,42,2021
"A02..02",46,43,2021
"A02..02",47,44,2021
"A02..02",33,45,2021
"A02..02",7,46,2021
"A02..02",8,47,2021
"A02..02",NA,48,2021
"A03..03",NA,1,2021
"A03..03",NA,6,2021
"A03..03",1,7,2021
"A03..03",NA,11,2021
"A03..03",1,18,2021
