"stratum","value","week","year"
"Baden.WÃ.rttemberg",109,1,2025
"Baden.WÃ.rttemberg",109,2,2025
"Baden.WÃ.rttemberg",153,3,2025
"Baden.WÃ.rttemberg",217,4,2025
"Baden.WÃ.rttemberg",354,5,2025
"Baden.WÃ.rttemberg",326,6,2025
"Baden.WÃ.rttemberg",416,7,2025
"Baden.WÃ.rttemberg",431,8,2025
"Baden.WÃ.rttemberg",426,9,2025
"Baden.WÃ.rttemberg",385,10,2025
"Baden.WÃ.rttemberg",404,11,2025
"Baden.WÃ.rttemberg",334,12,2025
"Baden.WÃ.rttemberg",305,13,2025
"Baden.WÃ.rttemberg",273,14,2025
"Baden.WÃ.rttemberg",245,15,2025
"Baden.WÃ.rttemberg",138,16,2025
"Baden.WÃ.rttemberg",112,17,2025
"Baden.WÃ.rttemberg",81,18,2025
"Baden.WÃ.rttemberg",76,19,2025
"Baden.WÃ.rttemberg",43,20,2025
"Baden.WÃ.rttemberg",30,21,2025
"Baden.WÃ.rttemberg",16,22,2025
"Baden.WÃ.rttemberg",18,23,2025
"Baden.WÃ.rttemberg",9,24,2025
"Baden.WÃ.rttemberg",7,25,2025
"Baden.WÃ.rttemberg",12,26,2025
"Baden.WÃ.rttemberg",5,27,2025
"Baden.WÃ.rttemberg",6,28,2025
"Baden.WÃ.rttemberg",4,29,2025
"Baden.WÃ.rttemberg",2,30,2025
"Baden.WÃ.rttemberg",5,31,2025
"Bayern",160,1,2025
"Bayern",208,2,2025
"Bayern",300,3,2025
"Bayern",468,4,2025
"Bayern",589,5,2025
"Bayern",785,6,2025
"Bayern",858,7,2025
"Bayern",947,8,2025
"Bayern",925,9,2025
"Bayern",960,10,2025
"Bayern",870,11,2025
"Bayern",757,12,2025
"Bayern",737,13,2025
"Bayern",581,14,2025
"Bayern",457,15,2025
"Bayern",317,16,2025
"Bayern",266,17,2025
"Bayern",144,18,2025
"Bayern",133,19,2025
"Bayern",88,20,2025
"Bayern",52,21,2025
"Bayern",24,22,2025
"Bayern",22,23,2025
"Bayern",12,24,2025
"Bayern",4,25,2025
"Bayern",1,26,2025
"Bayern",4,27,2025
"Bayern",1,28,2025
"Bayern",3,29,2025
"Bayern",7,30,2025
"Bayern",1,31,2025
"Berlin",41,1,2025
"Berlin",73,2,2025
"Berlin",84,3,2025
"Berlin",162,4,2025
"Berlin",192,5,2025
"Berlin",218,6,2025
"Berlin",212,7,2025
"Berlin",210,8,2025
"Berlin",231,9,2025
"Berlin",208,10,2025
"Berlin",192,11,2025
"Berlin",169,12,2025
"Berlin",163,13,2025
"Berlin",118,14,2025
"Berlin",107,15,2025
"Berlin",63,16,2025
"Berlin",56,17,2025
"Berlin",24,18,2025
"Berlin",20,19,2025
"Berlin",13,20,2025
"Berlin",12,21,2025
"Berlin",6,22,2025
"Berlin",6,23,2025
"Berlin",1,24,2025
"Berlin",4,25,2025
"Berlin",NA,26,2025
"Berlin",1,27,2025
"Berlin",1,28,2025
"Berlin",1,29,2025
"Berlin",1,30,2025
"Berlin",1,31,2025
"Brandenburg",18,1,2025
"Brandenburg",50,2,2025
"Brandenburg",69,3,2025
"Brandenburg",120,4,2025
"Brandenburg",174,5,2025
"Brandenburg",150,6,2025
"Brandenburg",210,7,2025
"Brandenburg",216,8,2025
"Brandenburg",256,9,2025
"Brandenburg",258,10,2025
"Brandenburg",219,11,2025
"Brandenburg",211,12,2025
"Brandenburg",208,13,2025
"Brandenburg",201,14,2025
"Brandenburg",137,15,2025
"Brandenburg",87,16,2025
"Brandenburg",90,17,2025
"Brandenburg",41,18,2025
"Brandenburg",32,19,2025
"Brandenburg",31,20,2025
"Brandenburg",20,21,2025
"Brandenburg",10,22,2025
"Brandenburg",9,23,2025
"Brandenburg",9,24,2025
"Brandenburg",4,25,2025
"Brandenburg",4,26,2025
"Brandenburg",3,27,2025
"Brandenburg",NA,28,2025
"Brandenburg",2,29,2025
"Brandenburg",1,30,2025
"Brandenburg",NA,31,2025
"Bremen",4,1,2025
"Bremen",4,2,2025
"Bremen",7,3,2025
"Bremen",8,4,2025
"Bremen",28,5,2025
"Bremen",15,6,2025
"Bremen",19,7,2025
"Bremen",17,8,2025
"Bremen",19,9,2025
