"","time_string","state","value","week","season"
"1","2019/20 SW27 (KW01)","Baden.WÃ.rttemberg",202,27,2019
"2","2019/20 SW28 (KW02)","Baden.WÃ.rttemberg",375,28,2019
"3","2019/20 SW29 (KW03)","Baden.WÃ.rttemberg",618,29,2019
"4","2019/20 SW30 (KW04)","Baden.WÃ.rttemberg",1167,30,2019
"5","2019/20 SW31 (KW05)","Baden.WÃ.rttemberg",2515,31,2019
"6","2019/20 SW32 (KW06)","Baden.WÃ.rttemberg",3124,32,2019
"7","2019/20 SW33 (KW07)","Baden.WÃ.rttemberg",3008,33,2019
"8","2019/20 SW34 (KW08)","Baden.WÃ.rttemberg",2972,34,2019
"9","2019/20 SW35 (KW09)","Baden.WÃ.rttemberg",3238,35,2019
"10","2019/20 SW36 (KW10)","Baden.WÃ.rttemberg",3261,36,2019
"11","2019/20 SW37 (KW11)","Baden.WÃ.rttemberg",2157,37,2019
"12","2019/20 SW38 (KW12)","Baden.WÃ.rttemberg",853,38,2019
"13","2019/20 SW39 (KW13)","Baden.WÃ.rttemberg",227,39,2019
"14","2019/20 SW40 (KW14)","Baden.WÃ.rttemberg",77,40,2019
"15","2019/20 SW41 (KW15)","Baden.WÃ.rttemberg",37,41,2019
"16","2019/20 SW42 (KW16)","Baden.WÃ.rttemberg",42,42,2019
"17","2019/20 SW43 (KW17)","Baden.WÃ.rttemberg",17,43,2019
"18","2019/20 SW44 (KW18)","Baden.WÃ.rttemberg",7,44,2019
"19","2019/20 SW45 (KW19)","Baden.WÃ.rttemberg",11,45,2019
"20","2019/20 SW46 (KW20)","Baden.WÃ.rttemberg",2,46,2019
"21","2019/20 SW47 (KW21)","Baden.WÃ.rttemberg",9,47,2019
"22","2019/20 SW48 (KW22)","Baden.WÃ.rttemberg",1,48,2019
"23","2019/20 SW49 (KW23)","Baden.WÃ.rttemberg",3,49,2019
"24","2019/20 SW50 (KW24)","Baden.WÃ.rttemberg",2,50,2019
"25","2019/20 SW51 (KW25)","Baden.WÃ.rttemberg",NA,51,2019
"26","2019/20 SW52 (KW26)","Baden.WÃ.rttemberg",2,52,2019
"27","2020/21 SW01 (KW27)","Baden.WÃ.rttemberg",1,1,2020
"28","2020/21 SW02 (KW28)","Baden.WÃ.rttemberg",1,2,2020
"29","2020/21 SW03 (KW29)","Baden.WÃ.rttemberg",2,3,2020
"30","2020/21 SW04 (KW30)","Baden.WÃ.rttemberg",NA,4,2020
"31","2020/21 SW05 (KW31)","Baden.WÃ.rttemberg",1,5,2020
"32","2020/21 SW06 (KW32)","Baden.WÃ.rttemberg",1,6,2020
"33","2020/21 SW07 (KW33)","Baden.WÃ.rttemberg",1,7,2020
"34","2020/21 SW08 (KW34)","Baden.WÃ.rttemberg",NA,8,2020
"35","2020/21 SW09 (KW35)","Baden.WÃ.rttemberg",NA,9,2020
"36","2020/21 SW10 (KW36)","Baden.WÃ.rttemberg",NA,10,2020
"37","2020/21 SW11 (KW37)","Baden.WÃ.rttemberg",NA,11,2020
"38","2020/21 SW12 (KW38)","Baden.WÃ.rttemberg",2,12,2020
"39","2020/21 SW13 (KW39)","Baden.WÃ.rttemberg",2,13,2020
"40","2020/21 SW14 (KW40)","Baden.WÃ.rttemberg",NA,14,2020
"41","2020/21 SW15 (KW41)","Baden.WÃ.rttemberg",1,15,2020
"42","2020/21 SW16 (KW42)","Baden.WÃ.rttemberg",2,16,2020
"43","2020/21 SW17 (KW43)","Baden.WÃ.rttemberg",4,17,2020
"44","2020/21 SW18 (KW44)","Baden.WÃ.rttemberg",3,18,2020
"45","2020/21 SW19 (KW45)","Baden.WÃ.rttemberg",2,19,2020
"46","2020/21 SW20 (KW46)","Baden.WÃ.rttemberg",2,20,2020
"47","2020/21 SW21 (KW47)","Baden.WÃ.rttemberg",2,21,2020
"48","2020/21 SW22 (KW48)","Baden.WÃ.rttemberg",3,22,2020
"49","2020/21 SW23 (KW49)","Baden.WÃ.rttemberg",NA,23,2020
"50","2020/21 SW24 (KW50)","Baden.WÃ.rttemberg",2,24,2020
"51","2020/21 SW25 (KW51)","Baden.WÃ.rttemberg",3,25,2020
"52","2020/21 SW26 (KW52)","Baden.WÃ.rttemberg",3,26,2020
"53","2020/21 SW27 (KW53)","Baden.WÃ.rttemberg",8,27,2020
"54","2019/20 SW27 (KW01)","Bayern",284,27,2019
"55","2019/20 SW28 (KW02)","Bayern",617,28,2019
"56","2019/20 SW29 (KW03)","Bayern",1241,29,2019
"57","2019/20 SW30 (KW04)","Bayern",2488,30,2019
"58","2019/20 SW31 (KW05)","Bayern",5653,31,2019
"59","2019/20 SW32 (KW06)","Bayern",8284,32,2019
"60","2019/20 SW33 (KW07)","Bayern",7626,33,2019
"61","2019/20 SW34 (KW08)","Bayern",7488,34,2019
"62","2019/20 SW35 (KW09)","Bayern",6767,35,2019
"63","2019/20 SW36 (KW10)","Bayern",6499,36,2019
"64","2019/20 SW37 (KW11)","Bayern",4280,37,2019
"65","2019/20 SW38 (KW12)","Bayern",1953,38,2019
"66","2019/20 SW39 (KW13)","Bayern",433,39,2019
"67","2019/20 SW40 (KW14)","Bayern",188,40,2019
"68","2019/20 SW41 (KW15)","Bayern",181,41,2019
"69","2019/20 SW42 (KW16)","Bayern",145,42,2019
"70","2019/20 SW43 (KW17)","Bayern",71,43,2019
"71","2019/20 SW44 (KW18)","Bayern",76,44,2019
"72","2019/20 SW45 (KW19)","Bayern",84,45,2019
"73","2019/20 SW46 (KW20)","Bayern",95,46,2019
"74","2019/20 SW47 (KW21)","Bayern",81,47,2019
"75","2019/20 SW48 (KW22)","Bayern",51,48,2019
"76","2019/20 SW49 (KW23)","Bayern",34,49,2019
"77","2019/20 SW50 (KW24)","Bayern",40,50,2019
"78","2019/20 SW51 (KW25)","Bayern",83,51,2019
"79","2019/20 SW52 (KW26)","Bayern",269,52,2019
"80","2020/21 SW01 (KW27)","Bayern",NA,1,2020
"81","2020/21 SW02 (KW28)","Bayern",1,2,2020
"82","2020/21 SW03 (KW29)","Bayern",NA,3,2020
"83","2020/21 SW04 (KW30)","Bayern",2,4,2020
"84","2020/21 SW05 (KW31)","Bayern",2,5,2020
"85","2020/21 SW06 (KW32)","Bayern",3,6,2020
"86","2020/21 SW07 (KW33)","Bayern",3,7,2020
"87","2020/21 SW08 (KW34)","Bayern",2,8,2020
"88","2020/21 SW09 (KW35)","Bayern",2,9,2020
"89","2020/21 SW10 (KW36)","Bayern",NA,10,2020
"90","2020/21 SW11 (KW37)","Bayern",NA,11,2020
"91","2020/21 SW12 (KW38)","Bayern",NA,12,2020
"92","2020/21 SW13 (KW39)","Bayern",2,13,2020
"93","2020/21 SW14 (KW40)","Bayern",1,14,2020
"94","2020/21 SW15 (KW41)","Bayern",3,15,2020
"95","2020/21 SW16 (KW42)","Bayern",3,16,2020
"96","2020/21 SW17 (KW43)","Bayern",3,17,2020
"97","2020/21 SW18 (KW44)","Bayern",5,18,2020
"98","2020/21 SW19 (KW45)","Bayern",3,19,2020
"99","2020/21 SW20 (KW46)","Bayern",1,20,2020
"100","2020/21 SW21 (KW47)","Bayern",7,21,2020
"101","2020/21 SW22 (KW48)","Bayern",2,22,2020
"102","2020/21 SW23 (KW49)","Bayern",1,23,2020
"103","2020/21 SW24 (KW50)","Bayern",2,24,2020
"104","2020/21 SW25 (KW51)","Bayern",1,25,2020
"105","2020/21 SW26 (KW52)","Bayern",3,26,2020
"106","2020/21 SW27 (KW53)","Bayern",3,27,2020
"107","2019/20 SW27 (KW01)","Berlin",83,27,2019
"108","2019/20 SW28 (KW02)","Berlin",175,28,2019
"109","2019/20 SW29 (KW03)","Berlin",240,29,2019
"110","2019/20 SW30 (KW04)","Berlin",332,30,2019
"111","2019/20 SW31 (KW05)","Berlin",595,31,2019
"112","2019/20 SW32 (KW06)","Berlin",668,32,2019
"113","2019/20 SW33 (KW07)","Berlin",545,33,2019
"114","2019/20 SW34 (KW08)","Berlin",545,34,2019
"115","2019/20 SW35 (KW09)","Berlin",566,35,2019
"116","2019/20 SW36 (KW10)","Berlin",712,36,2019
"117","2019/20 SW37 (KW11)","Berlin",521,37,2019
"118","2019/20 SW38 (KW12)","Berlin",327,38,2019
"119","2019/20 SW39 (KW13)","Berlin",208,39,2019
"120","2019/20 SW40 (KW14)","Berlin",58,40,2019
"121","2019/20 SW41 (KW15)","Berlin",21,41,2019
"122","2019/20 SW42 (KW16)","Berlin",2,42,2019
"123","2019/20 SW43 (KW17)","Berlin",4,43,2019
"124","2019/20 SW44 (KW18)","Berlin",3,44,2019
"125","2019/20 SW45 (KW19)","Berlin",2,45,2019
"126","2019/20 SW46 (KW20)","Berlin",3,46,2019
"127","2019/20 SW47 (KW21)","Berlin",1,47,2019
"128","2019/20 SW48 (KW22)","Berlin",2,48,2019
"129","2019/20 SW49 (KW23)","Berlin",1,49,2019
"130","2019/20 SW50 (KW24)","Berlin",NA,50,2019
"131","2019/20 SW51 (KW25)","Berlin",NA,51,2019
"132","2019/20 SW52 (KW26)","Berlin",NA,52,2019
"133","2020/21 SW01 (KW27)","Berlin",NA,1,2020
"134","2020/21 SW02 (KW28)","Berlin",NA,2,2020
"135","2020/21 SW03 (KW29)","Berlin",1,3,2020
"136","2020/21 SW04 (KW30)","Berlin",NA,4,2020
"137","2020/21 SW05 (KW31)","Berlin",1,5,2020
"138","2020/21 SW06 (KW32)","Berlin",NA,6,2020
"139","2020/21 SW07 (KW33)","Berlin",NA,7,2020
"140","2020/21 SW08 (KW34)","Berlin",NA,8,2020
"141","2020/21 SW09 (KW35)","Berlin",NA,9,2020
"142","2020/21 SW10 (KW36)","Berlin",NA,10,2020
"143","2020/21 SW11 (KW37)","Berlin",NA,11,2020
"144","2020/21 SW12 (KW38)","Berlin",NA,12,2020
"145","2020/21 SW13 (KW39)","Berlin",1,13,2020
"146","2020/21 SW14 (KW40)","Berlin",NA,14,2020
"147","2020/21 SW15 (KW41)","Berlin",NA,15,2020
"148","2020/21 SW16 (KW42)","Berlin",NA,16,2020
