"stratum","value","week","year"
"Baden.WÃ.rttemberg",2533,1,2026
"Baden.WÃ.rttemberg",2810,2,2026
"Bayern",4320,1,2026
"Bayern",3993,2,2026
"Berlin",701,1,2026
"Berlin",869,2,2026
"Brandenburg",394,1,2026
"Brandenburg",794,2,2026
"Bremen",112,1,2026
"Bremen",143,2,2026
"Hamburg",285,1,2026
"Hamburg",355,2,2026
"Hessen",1123,1,2026
"Hessen",1732,2,2026
"Mecklenburg.Vorpommern",225,1,2026
"Mecklenburg.Vorpommern",387,2,2026
"Niedersachsen",785,1,2026
"Niedersachsen",1066,2,2026
"Nordrhein.Westfalen",1826,1,2026
"Nordrhein.Westfalen",3121,2,2026
"Rheinland.Pfalz",663,1,2026
"Rheinland.Pfalz",962,2,2026
"Saarland",78,1,2026
"Saarland",225,2,2026
"Sachsen",1545,1,2026
"Sachsen",2213,2,2026
"Sachsen.Anhalt",338,1,2026
"Sachsen.Anhalt",758,2,2026
"Schleswig.Holstein",203,1,2026
"Schleswig.Holstein",277,2,2026
"ThÃ.ringen",371,1,2026
"ThÃ.ringen",634,2,2026
"Baden.WÃ.rttemberg",603,1,2025
"Baden.WÃ.rttemberg",1169,2,2025
"Baden.WÃ.rttemberg",1707,3,2025
"Baden.WÃ.rttemberg",2781,4,2025
"Baden.WÃ.rttemberg",4234,5,2025
"Baden.WÃ.rttemberg",4440,6,2025
"Baden.WÃ.rttemberg",4441,7,2025
"Baden.WÃ.rttemberg",3810,8,2025
"Baden.WÃ.rttemberg",3279,9,2025
"Baden.WÃ.rttemberg",2160,10,2025
"Baden.WÃ.rttemberg",1727,11,2025
"Baden.WÃ.rttemberg",955,12,2025
"Baden.WÃ.rttemberg",737,13,2025
"Baden.WÃ.rttemberg",421,14,2025
"Baden.WÃ.rttemberg",272,15,2025
"Baden.WÃ.rttemberg",140,16,2025
"Baden.WÃ.rttemberg",76,17,2025
"Baden.WÃ.rttemberg",55,18,2025
"Baden.WÃ.rttemberg",40,19,2025
"Baden.WÃ.rttemberg",35,20,2025
"Baden.WÃ.rttemberg",36,21,2025
"Baden.WÃ.rttemberg",17,22,2025
"Baden.WÃ.rttemberg",20,23,2025
"Baden.WÃ.rttemberg",17,24,2025
"Baden.WÃ.rttemberg",11,25,2025
"Baden.WÃ.rttemberg",16,26,2025
"Baden.WÃ.rttemberg",11,27,2025
"Baden.WÃ.rttemberg",11,28,2025
"Baden.WÃ.rttemberg",7,29,2025
"Baden.WÃ.rttemberg",13,30,2025
"Baden.WÃ.rttemberg",5,31,2025
"Baden.WÃ.rttemberg",15,32,2025
"Baden.WÃ.rttemberg",8,33,2025
"Baden.WÃ.rttemberg",11,34,2025
"Baden.WÃ.rttemberg",13,35,2025
"Baden.WÃ.rttemberg",4,36,2025
"Baden.WÃ.rttemberg",11,37,2025
"Baden.WÃ.rttemberg",10,38,2025
"Baden.WÃ.rttemberg",22,39,2025
"Baden.WÃ.rttemberg",28,40,2025
"Baden.WÃ.rttemberg",48,41,2025
"Baden.WÃ.rttemberg",72,42,2025
"Baden.WÃ.rttemberg",87,43,2025
"Baden.WÃ.rttemberg",70,44,2025
"Baden.WÃ.rttemberg",68,45,2025
"Baden.WÃ.rttemberg",79,46,2025
"Baden.WÃ.rttemberg",91,47,2025
"Baden.WÃ.rttemberg",176,48,2025
"Baden.WÃ.rttemberg",478,49,2025
"Baden.WÃ.rttemberg",1081,50,2025
"Baden.WÃ.rttemberg",1438,51,2025
"Baden.WÃ.rttemberg",997,52,2025
"Bayern",1103,1,2025
"Bayern",2190,2,2025
"Bayern",3412,3,2025
"Bayern",6389,4,2025
"Bayern",9531,5,2025
"Bayern",10260,6,2025
"Bayern",9756,7,2025
"Bayern",8117,8,2025
"Bayern",6988,9,2025
"Bayern",4236,10,2025
"Bayern",3843,11,2025
"Bayern",2070,12,2025
"Bayern",1545,13,2025
"Bayern",804,14,2025
"Bayern",489,15,2025
"Bayern",298,16,2025
"Bayern",198,17,2025
"Bayern",70,18,2025
"Bayern",147,19,2025
"Bayern",47,20,2025
"Bayern",49,21,2025
"Bayern",31,22,2025
"Bayern",71,23,2025
"Bayern",19,24,2025
"Bayern",18,25,2025
"Bayern",22,26,2025
"Bayern",24,27,2025
"Bayern",13,28,2025
"Bayern",15,29,2025
"Bayern",14,30,2025
"Bayern",14,31,2025
"Bayern",10,32,2025
"Bayern",9,33,2025
"Bayern",15,34,2025
"Bayern",13,35,2025
"Bayern",15,36,2025
"Bayern",25,37,2025
"Bayern",41,38,2025
"Bayern",41,39,2025
"Bayern",51,40,2025
"Bayern",121,41,2025
"Bayern",172,42,2025
"Bayern",172,43,2025
"Bayern",148,44,2025
"Bayern",148,45,2025
"Bayern",228,46,2025
"Bayern",326,47,2025
"Bayern",610,48,2025
"Bayern",1553,49,2025
"Bayern",3549,50,2025
"Bayern",4155,51,2025
"Bayern",2486,52,2025
"Berlin",320,1,2025
"Berlin",855,2,2025
"Berlin",1232,3,2025
"Berlin",1838,4,2025
"Berlin",2066,5,2025
"Berlin",1413,6,2025
"Berlin",1234,7,2025
"Berlin",1306,8,2025
"Berlin",1474,9,2025
"Berlin",1036,10,2025
"Berlin",833,11,2025
"Berlin",567,12,2025
"Berlin",449,13,2025
"Berlin",250,14,2025
"Berlin",158,15,2025
"Berlin",129,16,2025
"Berlin",69,17,2025
"Berlin",27,18,2025
"Berlin",15,19,2025
"Berlin",30,20,2025
"Berlin",18,21,2025
"Berlin",18,22,2025
"Berlin",12,23,2025
"Berlin",11,24,2025
"Berlin",9,25,2025
"Berlin",7,26,2025
"Berlin",9,27,2025
"Berlin",2,28,2025
"Berlin",8,29,2025
"Berlin",2,30,2025
"Berlin",5,31,2025
"Berlin",4,32,2025
"Berlin",8,33,2025
"Berlin",1,34,2025
"Berlin",5,35,2025
"Berlin",2,36,2025
"Berlin",7,37,2025
"Berlin",6,38,2025
"Berlin",8,39,2025
"Berlin",18,40,2025
"Berlin",30,41,2025
"Berlin",30,42,2025
"Berlin",35,43,2025
"Berlin",40,44,2025
"Berlin",50,45,2025
"Berlin",42,46,2025
"Berlin",52,47,2025
"Berlin",114,48,2025
"Berlin",262,49,2025
"Berlin",483,50,2025
"Berlin",590,51,2025
"Berlin",389,52,2025
"Brandenburg",170,1,2025
"Brandenburg",497,2,2025
"Brandenburg",902,3,2025
"Brandenburg",1598,4,2025
"Brandenburg",2542,5,2025
"Brandenburg",1804,6,2025
"Brandenburg",1765,7,2025
"Brandenburg",1895,8,2025
"Brandenburg",2154,9,2025
"Brandenburg",1651,10,2025
"Brandenburg",1192,11,2025
"Brandenburg",709,12,2025
"Brandenburg",546,13,2025
"Brandenburg",263,14,2025
"Brandenburg",147,15,2025
"Brandenburg",126,16,2025
"Brandenburg",32,17,2025
"Brandenburg",20,18,2025
"Brandenburg",13,19,2025
"Brandenburg",22,20,2025
"Brandenburg",20,21,2025
"Brandenburg",18,22,2025
"Brandenburg",17,23,2025
"Brandenburg",4,24,2025
"Brandenburg",8,25,2025
"Brandenburg",6,26,2025
"Brandenburg",2,27,2025
"Brandenburg",7,28,2025
